VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	16219	087703162198	0 87703 16219 8	발아현미율무차(담터)	KOREAN BROWN RICE TEA	12/15/0.52OZ(15G)
Hanmi	19359	087703193598	0 87703 19359 8	고구마라떼D010 4/14	SWEET POTATO LATTE 12sticks	20/12ct/18g
Hanmi	19360	087703193604	0 87703 19360 4	미숫가루라떼D010 4/14	ROAST GRAIN LATTE	20/12ct/20g
Hanmi	20349	087703203495	0 87703 20349 5	자판기우유맛한잔D010 4/14	MILK MIX VENDING STYLE	20/10ct/22g
Hanmi	17744	087703177444	0 87703 17744 4	맥심화이트골드커피믹스	INSTANT COFFEE MIX	24/20/0.41OZ(11.7G)
Hanmi	27281	087703272811	0 87703 27281 1	맥심화이트골드커피믹스	Maxim Instant White Coffee	8/100/0.41OZ(11.7G)
Hanmi	14224	087703142244	0 87703 14224 4	맥심오리지날커피믹스	INSTANT COFFEE MIX (CASE)	24/20/0.41OZ(11.8G)
Hanmi	10863	087703108639	0 87703 10863 9	맥심오리지날커피믹스	Maxim Instant Original Coffee	8/100/0.42OZ(12G)
Hanmi	14225	087703142251	0 87703 14225 1	맥심모카골드커피믹스	INSTANT COFFEE MIX (CASE)	24/20/0.42OZ(12G)
Hanmi	10862	087703108622	0 87703 10862 2	맥심모카골드커피믹스	Maxim Instant Mocha Coffee	
Hanmi	08039	087703080393	0 87703 08039 3	맥심디카페인커피믹스	Maxim Instant Decaffeinated Coffee	8/100/0.42OZ(12G)
Hanmi	03827	087703038271	0 87703 03827 1	구겐모카골드커피믹스	COFFEE MIX	6/80/0.42OZ(12G)
Hanmi	28912	087703289123	0 87703 28912 3	동서아라비카커피믹스	INSTANT ARABICA COFFEE MIX	8/100/0.42OZ
Hanmi	82835	087703828353	0 87703 82835 3	남양프렌치카페마일드	French Cafe Coffee Mild Mix	8/100T 11.1g
Hanmi	82836	087703828360	0 87703 82836 0	남양프렌치카페아라비카	French Cafe Arabica Gold Coffee Mix	8/100T 10.7g
Hanmi	82832	087703828322	0 87703 82832 2	남양프렌치카페스테비아	French Cafe Stevia	8/100T 10.3g
